name,name_kana,lat,lng,region,rank,series,categories,description,key
増上寺,ぞうじょうじ,35.6571906,139.7482124,東京都,A,寺院,,増上寺（ぞうじょうじ）は、東京都港区芝公園四丁目にある浄土宗の仏教寺院。山号は三縁山。三縁山広度院増上寺（さんえんざん こうどいん ぞうじょうじ）と称する。(出典: ja.wikipedia「増上寺」 https://ja.wikipedia.org/wiki/増上寺),増上寺
大國魂神社,おおくにたまじんじゃ,35.6674953,139.4789703,東京都,A,神社,,大國魂神社（おおくにたまじんじゃ、大国魂神社）は、東京都府中市宮町に所在する神社。武蔵国の総社であり、東京五社の一社他の四社は東京大神宮、靖国神社、日枝神社、明治神宮。。また、武蔵国の一之宮から六之宮までを合わせ祀るため、「六所宮」とも呼ばれる。(出典: ja.wikipedia「大國魂神社」 https://ja.wikipedia.org/wiki/大國魂神社),大國魂神社
富岡八幡宮,とみおかはちまんぐう,35.6715882,139.799754,東京都,A,神社,,富岡八幡宮（とみおかはちまんぐう）は、東京都江東区富岡にある八幡神社。通称で深川八幡宮（ふかがわはちまんぐう）とも称される。 江戸最大の八幡宮であり、8月に行われる祭礼「深川八幡祭り」は江戸三大祭りの一つ。また江戸勧進相撲発祥の神社で、境内には「横綱力士碑」をはじめ大相撲ゆかりの石碑が多数建立されている。(出典: ja.wikipedia「富岡八幡宮」 https://ja.wikipedia.org/wiki/富岡八幡宮),富岡八幡宮
寛永寺,かんえいじ,35.7215778,139.7743693,東京都,A,寺院,,寛永寺（かんえいじ）は、東京都台東区上野桜木一丁目にある天台宗関東総本山の寺院。山号は東叡山（とうえいざん）。東叡山寛永寺円頓院と号する。開基（創立者）は江戸幕府3代将軍の徳川家光であり、開山（初代住職）は天海、本尊は薬師如来である。 徳川将軍家の祈祷所・菩提寺であり、徳川歴代将軍15人のうち6人が寛永寺に眠る。17世紀半ばからは皇族が歴代住職を務めて朝廷との繋がりが深かった。(出典: ja.wikipedia「寛永寺」 https://ja.wikipedia.org/wiki/寛永寺),寛永寺
小網神社,こあみじんじゃ,35.6841674,139.7804475,東京都,A,神社,,小網神社（こあみじんじゃ）は、東京都中央区日本橋小網町にある神社。「小網神社社殿及び神楽殿附棟札・造営関係資料」は中央区有形文化財となっている（1991年4月1日指定）。(出典: ja.wikipedia「小網神社」 https://ja.wikipedia.org/wiki/小網神社),小網神社
小野神社,おのじんじゃ,35.6530699,139.4419497,東京都,A,神社,,小野神社（おのじんじゃ）は、東京都多摩市にある神社。式内社論社、武蔵国一宮を称する。旧社格は郷社。(出典: ja.wikipedia「小野神社 (多摩市)」 https://ja.wikipedia.org/wiki/小野神社_%28多摩市%29),小野神社
待乳山聖天,,35.7173545,139.8029781,東京都,A,寺院,,本龍院（ほんりゅういん）は、東京都台東区浅草にある聖観音宗の寺院で、浅草寺の子院のひとつである。山号は待乳山。本尊は歓喜天（聖天）・十一面観音で、待乳山聖天（まつちやましょうでん）とも称される。この寺には浅草名所七福神のうち毘沙門天が祀られている。(出典: ja.wikipedia「本龍院」 https://ja.wikipedia.org/wiki/本龍院),待乳山聖天
愛宕神社,あたごじんじゃ,35.6649257,139.7488172,東京都,A,神社,,愛宕神社（あたごじんじゃ）は、東京都港区愛宕一丁目にある神社角川日本地名大辞典編纂委員会編『角川日本地名大辞典13 東京都』（角川書店、1978年）1004頁。戦勝や防火に連なる愛宕権現を祀っており（愛宕信仰）、京都の愛宕神社が総本社である。徳川家康の命により滋賀県甲賀市信楽町にある新宮神社の境外摂社愛宕神社を勧請し創建されたとされる新宮神社ホームページ 境外摂社。(出典: ja.wikipedia「愛宕神社 (東京都港区)」 https://ja.wikipedia.org/wiki/愛宕神社_%28東京都港区%29),愛宕神社
日枝神社,ひえじんじゃ,35.6746457,139.739932,東京都,A,神社,,日枝神社（ひえじんじゃ）は、東京都千代田区永田町二丁目にある、山王信仰の神社。山王さま等とも呼ばれ南方、裏参道の大鳥居の扁額の表記は、山王日枝神社。、江戸三大祭の一つ、山王祭が行われる。旧社格は准勅祭社（東京十社）、官幣大社。 大山咋神（おおやまくいのかみ）大山咋神は、須佐之男神の孫神とされる。(出典: ja.wikipedia「日枝神社 (千代田区)」 https://ja.wikipedia.org/wiki/日枝神社_%28千代田区%29),日枝神社
明治神宮,,35.6750484,139.6994785,東京都,A,神社,,は、日本の東京都渋谷区にある神社。祭神は明治天皇と昭憲皇太后で、明治天皇崩御後の1920年（大正9年）11月1日に創建された東京ふる里文庫11 東京にふる里をつくる会編『渋谷区の歴史』（名著出版、昭和53年9月30日発行）pp.206-211明治神宮とは 明治神宮公式サイト（2022年7月6日閲覧）。旧社格は官幣大社で、勅祭社。(出典: ja.wikipedia「明治神宮」 https://ja.wikipedia.org/wiki/明治神宮),明治神宮
東京大神宮,とうきょうだいじんぐう,35.7000073,139.7468581,東京都,A,神社,,東京大神宮（とうきょうだいじんぐう）は、東京都千代田区富士見二丁目にある神社全国神社名鑑上、314-315頁「◇東京大神宮(飯田橋大神宮)/由緒」神社辞典、243-244頁『東京大神宮 とうきょうだいじんぐう』。天照皇大神・豊受大神を主祭神とする。(出典: ja.wikipedia「東京大神宮」 https://ja.wikipedia.org/wiki/東京大神宮),東京大神宮
