name,name_kana,region,lat,lng,rank,category,description
泉長命ケ丘郵便局,,宮城県,38.313145,140.83635,郵便局,郵便局,長命ケ丘4-15-28
泉鶴が丘郵便局,,宮城県,38.318039,140.923903,郵便局,郵便局,鶴が丘1-3-6
泉南光台郵便局,,宮城県,38.299632,140.897739,郵便局,郵便局,南光台4-16-26
泉南光台南三郵便局,,宮城県,38.295073,140.904742,郵便局,郵便局,南光台南3-16-25
泉南中山郵便局,,宮城県,38.309903,140.827907,郵便局,郵便局,南中山2-10-13
泉八乙女駅前郵便局,,宮城県,38.311234,140.88765,郵便局,郵便局,八乙女中央5-10-8
石巻旭町郵便局,,宮城県,38.436296,141.309294,郵便局,郵便局,旭町2-8
鮎川郵便局,,宮城県,38.3016482842,141.500109347,郵便局,郵便局,鮎川浜清崎山1-11
伊原津簡易郵便局,,宮城県,38.419739,141.333384,郵便局,簡易郵便局,伊原津1-2-1
荻浜郵便局（一時閉鎖）,,宮城県,38.377975,141.44817,郵便局,郵便局,荻浜家前21
大川郵便局（一時閉鎖）,,宮城県,38.547121,141.431222,郵便局,郵便局,釜谷韮島61-2
蛇田郵便局,,宮城県,38.446017,141.27921,郵便局,郵便局,丸井戸2-4-9
広淵郵便局,,宮城県,38.4701303488,141.208291033,郵便局,郵便局,広渕町165-1
石巻鹿妻郵便局（一時閉鎖）,,宮城県,38.417624,141.346051,郵便局,郵便局,鹿妻南4-2-26
鹿又郵便局,,宮城県,38.487679,141.284849,郵便局,郵便局,鹿又新八幡前24-3
浜江場簡易郵便局,,宮城県,38.455209,141.259149,郵便局,簡易郵便局,蛇田南久林1-2
石巻山下郵便局,,宮城県,38.434074,141.294018,郵便局,郵便局,西山町58-1
河南郵便局,,宮城県,38.508784,141.193189,郵便局,郵便局,前谷地黒沢前25
石巻双葉町郵便局,,宮城県,38.429352,141.291518,郵便局,郵便局,双葉町1-35
河北郵便局,,宮城県,38.516565,141.3204,郵便局,郵便局,相野谷五味前二番7-1
稲井郵便局,,宮城県,38.441574,141.329292,郵便局,郵便局,大瓜井内16-1
石巻大街道郵便局,,宮城県,38.430149,141.27908,郵便局,郵便局,大街道北3-3-38
石巻水明郵便局,,宮城県,38.441496,141.315057,郵便局,郵便局,大橋2-1-7
大原浜郵便局（一時閉鎖）,,宮城県,38.332426,141.475114,郵便局,郵便局,大原浜町33-2
石巻中央一郵便局,,宮城県,38.4287515523,141.306405029,郵便局,郵便局,中央1-9-7
網地島郵便局,,宮城県,38.254658,141.494839,郵便局,郵便局,長渡浜長渡64
田代島簡易郵便局,,宮城県,38.292429,141.424288,郵便局,簡易郵便局,田代浜仁斗田76
渡波郵便局,,宮城県,38.419066,141.36525,郵便局,郵便局,渡波町1-8-1
樫崎郵便局,,宮城県,38.565725,141.276513,郵便局,郵便局,桃生町樫崎高附25-16
神取郵便局,,宮城県,38.535449,141.235962,郵便局,郵便局,桃生町神取屋敷28-1
桃生郵便局,,宮城県,38.566437,141.248015,郵便局,郵便局,桃生町中津山町81-1
石巻郵便局,,宮城県,38.440407,141.299476,郵便局,郵便局,南中里3-15-42
橋浦郵便局,,宮城県,38.546843,141.406503,郵便局,郵便局,北上町橋浦大須39-2
北上郵便局,,宮城県,38.576285,141.450386,郵便局,郵便局,北上町十三浜月浜87-1
陸前相川郵便局（一時閉鎖）,,宮城県,38.603505,141.501492,郵便局,郵便局,北上町十三浜相川29-1
石巻湊郵便局,,宮城県,38.4247653796,141.32310413,郵便局,郵便局,湊御所入139-1
石巻門脇郵便局（一時閉鎖）,,宮城県,38.419301,141.301614,郵便局,郵便局,門脇町5-10-14
青葉簡易郵便局,,宮城県,38.4342107601,141.269493333,郵便局,簡易郵便局,門脇二番谷地13-154
雄勝郵便局,,宮城県,38.513243677,141.4992724,郵便局,郵便局,雄勝町小島和田18-13
船越郵便局,,宮城県,38.532403,141.512048,郵便局,郵便局,雄勝町船越天王山58-1
大須浜簡易郵便局,,宮城県,38.522683,141.543434,郵便局,簡易郵便局,雄勝町大須大須111
石巻立町郵便局,,宮城県,38.432535,141.303928,郵便局,郵便局,立町2-6-5
和淵郵便局,,宮城県,38.52527,141.226347,郵便局,郵便局,和渕佐沼川11
浦戸郵便局,,宮城県,38.332971,141.101543,郵便局,郵便局,浦戸石浜河岸39-1
塩釜花立郵便局,,宮城県,38.309359,141.020164,郵便局,郵便局,花立町14-17
塩釜郵便局,,宮城県,38.316898,141.029005,郵便局,郵便局,港町2-8-18
塩釜佐浦町郵便局,,宮城県,38.312415,141.017664,郵便局,郵便局,佐浦町7-12
塩釜新浜町郵便局,,宮城県,38.326217,141.042335,郵便局,郵便局,新浜町1-18-3
塩釜西町郵便局,,宮城県,38.316858,141.013219,郵便局,郵便局,西町2-15
塩釜東玉川郵便局,,宮城県,38.31047,141.010443,郵便局,郵便局,東玉川町7-8
塩釜藤倉郵便局,,宮城県,38.32724,141.028903,郵便局,郵便局,藤倉2-14-38
塩釜長沢郵便局,,宮城県,38.325191,141.015719,郵便局,郵便局,梅の宮3-51
塩釜駅前郵便局,,宮城県,38.318943,141.021085,郵便局,郵便局,北浜1-1-12
塩釜北浜町郵便局,,宮城県,38.322815,141.024183,郵便局,郵便局,北浜1-11-37
笠神簡易郵便局,,宮城県,38.3036538607,141.028813536,郵便局,簡易郵便局,笠神4-1-35
大島郵便局,,宮城県,38.85848,141.616192,郵便局,郵便局,外畑223-1
気仙沼魚市場前郵便局（一時閉鎖）,,宮城県,38.898474,141.581194,郵便局,郵便局,魚市場前5-4
気仙沼九条郵便局,,宮城県,38.895974,141.558141,郵便局,郵便局,九条477-10
気仙沼古町郵便局,,宮城県,38.909106,141.558863,郵便局,郵便局,古町3-2-45
松岩郵便局,,宮城県,38.877365,141.575084,郵便局,郵便局,松崎五駄鱈49-1
気仙沼鹿折郵便局,,宮城県,38.9225332242,141.583102683,郵便局,郵便局,西八幡町64-3
前木簡易郵便局,,宮城県,38.916248,141.4987,郵便局,簡易郵便局,前木154
大浦簡易郵便局,,宮城県,38.9009512623,141.588613071,郵便局,簡易郵便局,大浦44-1
陸前階上郵便局,,宮城県,38.843203,141.581196,郵便局,郵便局,長磯船原68-22
新城簡易郵便局,,宮城県,38.905694,141.537586,郵便局,簡易郵便局,田尻沢67
気仙沼田中前郵便局,,宮城県,38.893745,141.564742,郵便局,郵便局,田中前1-1-16
小原木郵便局,,宮城県,38.946525,141.633966,郵便局,郵便局,唐桑町岩井沢91-2
中井簡易郵便局,,宮城県,38.880144,141.65952,郵便局,簡易郵便局,唐桑町中井441-3
