name,name_kana,lat,lng,region,series,categories,description,key
鹿児島大学医学部内簡易郵便局,,31.547352,130.527644,鹿児島県,郵便局,簡易,桜ケ丘8-35-1,鹿児島大学医学部内簡易郵便局
二俣郵便局,,31.625604,130.658931,鹿児島県,郵便局,普通,桜島二俣町356-2,二俣郵便局
西桜島郵便局,,31.616176,130.620397,鹿児島県,郵便局,普通,桜島武町431-1,西桜島郵便局
鹿児島三和郵便局,,31.551241,130.554753,鹿児島県,郵便局,普通,三和町46-24,鹿児島三和郵便局
鹿児島東郵便局,,31.594625,130.555474,鹿児島県,郵便局,普通,山下町3-3,鹿児島東郵便局
鹿児島山之口郵便局,,31.587459,130.553835,鹿児島県,郵便局,普通,山之口町7-49,鹿児島山之口郵便局
鹿児島紫原一郵便局,,31.55799,130.538671,鹿児島県,郵便局,普通,紫原1-21-9,鹿児島紫原一郵便局
鹿児島紫原五郵便局,,31.561295,130.530866,鹿児島県,郵便局,普通,紫原5-1-15,鹿児島紫原五郵便局
鹿児島自由ヶ丘簡易郵便局,,31.540631,130.511118,鹿児島県,郵便局,簡易,自由ケ丘1-18-17,鹿児島自由ヶ丘簡易郵便局
鹿児島春山簡易郵便局,,31.5813140933,130.454921914,鹿児島県,郵便局,簡易,春山町1913-1,鹿児島春山簡易郵便局
鹿児島春日郵便局,,31.605402,130.5665,鹿児島県,郵便局,普通,春日町12-14,鹿児島春日郵便局
鹿児島西郵便局,,31.654424,130.497337,鹿児島県,郵便局,普通,小山田町39-2,鹿児島西郵便局
